Período;Região;Instituição Hospitalar;Sigla;Ponto ou Localização Geográfica;Grupo;Despesa;N.º doentes;Custo Médio
2019-12;Centro;Centro Hospitalar Tondela-Viseu, EPE.;CHTV;40.516364, -8.0827433;Grupo D;1399303.54;305.0;382.3233715846995
2019-12;LVT;Centro Hospitalar Universitário Lisboa Central, EPE;CHULC;38.7166948, -9.1371248;Grupo E;33090017.93;5981.0;461.04355361422284
2020-12;Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;ULSBA;38.014123,-7.8721227;Grupo C;1202205.6;209.0;479.3483253588517
2020-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, EPE;CHVNGE;41.1094138, -8.5972617;Grupo D;6731272.87;1352.0;414.89601023175544
2020-12;LVT;Hospital Prof. Doutor Fernando Fonseca, EPE;HFF;38.7422257, -9.2264834;Grupo D;15386675.95;2951.0;434.504573308483
2020-12;LVT;Centro Hospitalar do Oeste, EPE;CHO;39.4054629, -9.1258493;Grupo B;2117826.54;460.0;383.66422826086955
2020-12;Algarve;Centro Hospitalar Universitário do Algarve, EPE;CHUA;37.0238973, -7.9281554;Grupo D;6912144.03;2005.0;287.28778179551125
2020-12;Norte;Centro Hospitalar Universitário de Santo António, EPE;CHUdSA;41.1472498, -8.6172617;Grupo E;13389651.22;3153.0;353.8865424463474
2021-12;Norte;Unidade Local de Saúde de Matosinhos, EPE;ULSM;41.1794456, -8.6745115;Grupo C;4905888.66;941.0;434.45701912858664
2021-12;LVT;Centro Hospitalar de Setúbal, E.P.E.;CHS;38.5283754, -8.8818638;Grupo C;7241734.95;1318.0;457.87398520485584
2021-12;LVT;Hospital Prof. Doutor Fernando Fonseca, EPE;HFF;38.7422257, -9.2264834;Grupo D;15491252.34;3098.0;416.70035345384116
2021-12;Centro;Centro Hospitalar e Universitário de Coimbra, EPE;CHUC;40.2191523, -8.4098211;Grupo E;12218582.48;2742.0;371.3403379528325
2021-12;LVT;Centro Hospitalar Universitário Lisboa Central, EPE;CHULC;38.7166948, -9.1371248;Grupo E;34329451.82;6192.0;462.01350963608957
2021-12;Centro;Centro Hospitalar do Baixo Vouga, EPE;CHBV;40.6362453, -8.6543716;Grupo C;3206743.95;751.0;355.8304427430093
2022-12;LVT;Hospital Garcia da Orta, EPE;HGO;38.6658713, -9.1822554;Grupo D;8504883.09;2133.0;332.2739135021097
2022-12;Norte;Unidade Local de Saúde de Matosinhos, EPE;ULSM;41.1794456, -8.6745115;Grupo C;5159595.19;1057.0;406.77981630400507
2022-12;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, EPE;CHTMAD;41.3031784, -7.7515252;Grupo D;1462192.39;343.0;355.2459645286686
2022-12;Norte;Hospital da Senhora da Oliveira Guimarães, EPE;HSOG;41.4387173, -8.3086907;Grupo C;2030537.78;382.0;442.9619938917976
2022-12;LVT;Hospital de Vila Franca de Xira, EPE;HVFX;38.952565, -8.992398;Grupo C;1868607.69;409.0;380.726913202934
2023-12;Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;ULSBA;38.014123,-7.8721227;Grupo C;1296863.66;239.0;452.1839818688982
2023-12;Norte;Centro Hospitalar Universitário de São João, EPE;CHUSJ;41.1831056, -8.6010558;Grupo E;12502480.1;3440.0;302.8701574612403
2023-12;LVT;Hospital Garcia da Orta, EPE;HGO;38.6658713, -9.1822554;Grupo D;9501550.21;2328.0;340.1184926260023
2023-12;Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;ULSNA;39.3003425, -7.4263845;Grupo C;511299.96;147.0;289.8525850340136
2023-12;LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;CHULN;38.7500861, -9.1616116;Grupo E;22304745.52;5089.0;365.2444082006943
2023-12;Centro;Centro Hospitalar e Universitário de Coimbra, EPE;CHUC;40.2191523, -8.4098211;Grupo E;13206212.06;3297.0;333.79365231018096
2024-03;;Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.;ULSVDL;40.516364, -8.0827433;Grupo D;606215.6;413.0;489.2781275221953
2024-03;;Unidade Local de Saúde do Algarve, E. P. E.;ULSAlg;37.0238973, -7.9281554;Grupo D;2996488.01;2019.0;494.71487700181603
2024-03;;Unidade Local de Saúde de Santo António, E. P. E.;ULSSA;41.1472498, -8.6172617;Grupo E;4252224.47;2865.0;494.73234089586964
2024-03;;Unidade Local de Saúde de São João, E. P. E.;ULSSJo;41.1831056, -8.6010558;Grupo E;3714453.85;2846.0;435.04964277348324
2024-03;;Unidade Local de Saúde de Matosinhos, E.P.E.;ULSM;41.1794456, -8.6745115;Grupo C;1536916.78;1111.0;461.12114611461146
2024-03;;Unidade Local de Saúde do Arco Ribeirinho, E. P. E.;ULSAR;38.6554005, -9.0592392;Grupo C;1454596.41;932.0;520.2419206008583
2025-03;;Unidade Local de Saúde do Estuário do Tejo, E. P. E.;ULSET;38.952565, -8.992398;Grupo C;694298.18;469.0;493.45997157071787
